Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
11716-of-13898,84617242,7026223.67,207,110715,339,132
11717-of-13898,83881157,6865413.01,207,110850,340,132
11718-of-13898,78826846,6015986.01,207,110945,340,133
11719-of-13898,75037320,5067643.78,210,109387,345,135
11720-of-13898,71715592,4973530.48,211,109642,348,137
11721-of-13898,244858159,23029739.88,201,104709,304,104
11722-of-13898,173468669,11737644.97,204,108574,320,117
11723-of-13898,164239850,10962628.15,204,108667,322,118
11724-of-13898,126919942,12641826.89,201,105839,329,128
11725-of-13898,111061806,11644181.79,201,105987,334,132
11726-of-13898,130570825,11820202.71,200,107486,326,126
11727-of-13898,128426197,11746378.9,200,107517,326,126
11728-of-13898,122280114,11217350.35,201,107710,332,131
11729-of-13898,143601745,12436255.28,204,110144,321,117
11730-of-13898,142791953,12291583.2,204,110149,322,117
11731-of-13898,120093460,10482310.22,203,106092,332,129
11732-of-13898,44924777,3586668.94,212,110454,361,149
11733-of-13898,44641798,3568337.86,212,110535,362,150
11734-of-13898,44574604,3558532.32,212,110536,362,150
11735-of-13898,98203588,7438811.88,205,110471,336,131
11736-of-13898,98030319,7422374.8,205,110502,336,131
11737-of-13898,79738694,5550270.14,210,111108,345,135
11738-of-13898,99216964,6985109.99,212,111175,339,127
11739-of-13898,97970230,6960723.14,212,111191,339,127
11740-of-13898,95545087,6935963.79,212,111211,339,127
11741-of-13898,265340248,25370225.14,202,106924,301,99
11742-of-13898,263934728,25187723.41,203,107128,302,99
11743-of-13898,239458167,24221964.07,203,107640,305,101
11744-of-13898,238295602,24170733.73,204,107751,306,102
11745-of-13898,155281388,13664217.88,201,107491,320,119
11746-of-13898,153990580,13500203.61,201,107495,321,119
11747-of-13898,97701232,8478069,209,110343,335,126
11748-of-13898,94765601,8208728.05,209,110427,336,127
11749-of-13898,92617142,8043478.32,210,110640,337,127
11750-of-13898,92157038,7975670.29,210,110649,338,128
11751-of-13898,294107131,24696750.45,199,106546,298,100
11752-of-13898,286816683,23144435.82,199,107011,300,100
11753-of-13898,286288264,23139612.64,200,107265,300,100
11754-of-13898,218218833,15816829.15,200,107813,312,112
11755-of-13898,217650944,15699269.24,201,107959,313,113
11756-of-13898,218703986,19630173.72,207,110311,310,103
11757-of-13898,216788926,17255332.78,208,110448,311,103
11758-of-13898,215146837,17122302.71,208,110561,312,104
11759-of-13898,209600009,16880763.05,209,110824,314,106
11760-of-13898,209405330,16858908.27,209,110893,314,106
11761-of-13898,167846392,13573827.73,202,105872,321,120
11762-of-13898,165482656,13349159.57,202,105881,322,121
11763-of-13898,164826642,13339982.52,202,106032,323,121
11764-of-13898,224093632,20056777.36,205,110067,307,102
11765-of-13898,205460775,19532429.66,205,110517,310,104
11766-of-13898,204372860,19521562.91,205,110530,310,104
11767-of-13898,162747787,13881552.51,202,108886,319,117
11768-of-13898,162667815,13864611.24,202,108887,319,117
11769-of-13898,162550075,13864611.24,202,108891,319,117
11770-of-13898,153508185,12781811.89,202,108940,319,117
11771-of-13898,152193249,11706235.5,203,109264,321,118
11772-of-13898,151114498,11706235.5,203,109446,321,118
11773-of-13898,140467119,11820592.3,204,111398,320,116
11774-of-13898,140410037,11820592.3,204,111404,320,116
11775-of-13898,25807079,2287551.38,213,110416,370,157
11776-of-13898,25312628,2249926.72,214,110672,371,158
11777-of-13898,25119501,2239672.27,214,110880,372,158
11778-of-13898,24823540,2194925.45,214,110942,372,158
11779-of-13898,24351521,2153413.76,214,111127,373,159
11780-of-13898,139766318,10237688.39,205,107784,328,123
11781-of-13898,136262646,10115136.75,205,107798,328,123
11782-of-13898,127325577,9515842.44,205,107862,329,124
11783-of-13898,43350197,2871094.56,214,111067,365,151
11784-of-13898,42918311,2866661.25,214,111093,365,152
11785-of-13898,135554327,11946714.09,202,108679,324,122
11786-of-13898,82070442,5246089.14,207,111203,346,139
11787-of-13898,84619105,8155746.58,207,110874,338,131
11788-of-13898,84159000,8087938.55,207,110883,339,131
11789-of-13898,82763435,7922302.01,208,111048,340,132
11790-of-13898,82476432,7922302.01,208,111126,341,132
11791-of-13898,81740347,7761491.35,209,111261,341,132
11792-of-13898,259439738,22908404.27,202,106716,303,101
11793-of-13898,252694701,22324963.47,202,106763,304,102
11794-of-13898,252646617,22321077.27,202,106763,304,102
11795-of-13898,246078314,21756984.68,207,109820,308,100
11796-of-13898,142058544,12573867.81,205,107251,324,118
11797-of-13898,137394931,13610916.41,201,107298,322,121
11798-of-13898,120036462,11301556.86,203,108621,326,123
11799-of-13898,48111088,4204159.11,212,111176,355,143
11800-of-13898,47299397,4133936.06,212,111177,356,144
11801-of-13898,155875338,11456092.24,202,106702,327,125
11802-of-13898,97883912,7436200,205,107996,340,136
11803-of-13898,91475978,7310703.2,205,108434,342,137
11804-of-13898,88170655,7157119.71,205,108472,342,137
11805-of-13898,65168006,4937879.99,209,110878,352,143
11806-of-13898,63280658,4559541.59,209,110925,354,145
11807-of-13898,63070933,4528264.33,209,110926,354,145
11808-of-13898,101563161,7282977.21,209,108125,340,131
11809-of-13898,107382126,6888201.12,212,111142,337,124
11810-of-13898,104626421,6832392.93,212,111142,339,127
11811-of-13898,104265917,6802182.04,212,111146,340,128
11812-of-13898,145091562,13332599.17,203,109309,321,118
11813-of-13898,142740595,13051086.21,203,109344,322,119
11814-of-13898,142535560,13033647.59,203,109346,322,119
11815-of-13898,190153988,17211925.84,200,108189,312,111
11816-of-13898,187077872,17093608.32,200,108218,312,112
11817-of-13898,183867404,16680840.03,201,108286,313,112
11818-of-13898,173075018,14610000.46,201,106987,317,116
11819-of-13898,172967864,14610000.46,201,107033,318,116
11820-of-13898,128885218,10928172.11,202,108570,325,124
11821-of-13898,121723443,10559631.47,202,108700,326,125
11822-of-13898,121363062,10475290.89,202,108714,327,125
11823-of-13898,121305906,10475290.89,202,108715,327,125
11824-of-13898,115188055,9785831.44,202,108746,327,125
11825-of-13898,112200867,9624247.85,203,109226,329,126
11826-of-13898,110739839,9551051.54,203,109235,329,126
11827-of-13898,107423784,9292444.83,203,109249,331,129
11828-of-13898,157417939,12685737.38,205,110729,318,113
11829-of-13898,155743476,12325388.04,205,110771,318,113
11830-of-13898,66453681,5977469.68,210,109493,347,137
11831-of-13898,65907025,5888064.9,210,109500,348,138
11832-of-13898,249349337,18994883.13,201,109007,305,104
11833-of-13898,216298941,22248112.8,203,110445,305,103
11834-of-13898,215489149,22103440.72,203,110450,305,103
11835-of-13898,204355164,19429166.34,203,110565,307,104
11836-of-13898,292777306,23788801.57,199,107116,299,99
11837-of-13898,282157048,23349036.84,199,107161,299,100
11838-of-13898,281429841,23326511.86,199,107169,299,100
11839-of-13898,156019077,15552448.83,200,104913,325,125
11840-of-13898,140618729,11820592.3,204,111376,320,116
11841-of-13898,140606474,11819224.75,204,111376,320,116
11842-of-13898,139904662,11700948.42,204,111392,320,116
11843-of-13898,110334759,11257265.25,213,111096,333,120
11844-of-13898,109627141,10906840.59,213,111096,333,120
11845-of-13898,109586382,10898182.67,213,111096,333,120
11846-of-13898,109580333,10897968.33,213,111096,333,120
11847-of-13898,55063733,4236258.34,209,110053,361,152
11848-of-13898,54906065,4192605.46,209,110119,362,153
11849-of-13898,54625473,4170379.32,210,110508,363,153
11850-of-13898,281273637,24827636.71,197,106112,297,100
11851-of-13898,65465121,3957898.6,212,109750,358,146
11852-of-13898,65216994,3942669.37,212,109755,358,146
11853-of-13898,63044226,3804992.74,212,109787,359,147
11854-of-13898,308402323,27186694.8,199,104416,295,96
11855-of-13898,306742335,26995975.02,199,104511,296,97
11856-of-13898,306727191,26995975.02,199,104518,296,97
11857-of-13898,104412591,8171901.25,206,106414,342,136
11858-of-13898,103331757,8148573.58,206,106422,342,136
11859-of-13898,48287675,3468475.28,214,110870,358,145
11860-of-13898,45522612,3379185.16,214,110880,360,147
11861-of-13898,45090726,3374751.85,214,110905,360,147
11862-of-13898,45019223,3374017.86,214,110915,360,147
11863-of-13898,263737420,19398570.84,206,109217,308,102
11864-of-13898,262877652,19387321.12,206,109305,308,102
11865-of-13898,262684526,19377066.67,206,109512,308,102
11866-of-13898,262532916,19377066.67,207,109534,308,102
11867-of-13898,213245415,20908917.79,198,102466,314,116
11868-of-13898,203828501,19843147.3,198,102531,315,116
11869-of-13898,198819413,19334930.79,199,102649,316,117
11870-of-13898,179916648,16880144.57,200,103111,320,120
11871-of-13898,170349560,15406271.64,200,103183,321,121
11872-of-13898,274870420,25164303.34,202,103622,304,102
11873-of-13898,183924275,13847398.14,203,107291,317,115
11874-of-13898,182984433,13805702.54,203,107354,318,115
11875-of-13898,110479659,6583138.15,207,106904,340,133
11876-of-13898,110285183,6583125.36,207,106918,340,133
11877-of-13898,174797022,13748478.41,204,106941,318,114
11878-of-13898,171792571,13487255.95,204,106963,319,114
11879-of-13898,129806080,10621286.77,206,108030,325,119
11880-of-13898,127975872,10521384.95,206,108077,326,120
11881-of-13898,147983132,11693286.95,203,109393,322,119
11882-of-13898,116514891,6990729.88,211,110330,341,130
11883-of-13898,115068741,6837650.89,211,110337,341,130
11884-of-13898,110512316,6701016.12,211,110368,342,131
11885-of-13898,110249510,6687641.23,211,110566,342,131
11886-of-13898,125021123,12209394.82,204,109711,326,122
11887-of-13898,119178862,12020142.21,204,109735,326,122
11888-of-13898,113311202,7424686.39,205,109481,334,129
11889-of-13898,112757694,7330091.36,205,109689,335,129
11890-of-13898,111929402,7286793.02,206,109723,336,130
11891-of-13898,110652288,7220023.06,206,109806,337,131
11892-of-13898,101243624,6856008.4,206,109936,338,133
11893-of-13898,259499938,22265349.97,203,110502,302,99
11894-of-13898,258792619,22258089.34,203,110519,302,99
11895-of-13898,53864315,5135073.4,208,110543,360,152
11896-of-13898,53601128,5097712.83,209,110618,361,152
11897-of-13898,52940611,5058612.13,209,110725,362,153
11898-of-13898,52477883,5030361.48,209,110728,362,153
11899-of-13898,52289469,5013924.4,209,110767,362,153
11900-of-13898,135185573,10861341.65,202,108850,324,122
11901-of-13898,133427034,10666163.91,202,108857,325,122
11902-of-13898,132373370,10655297.16,202,108888,325,122
11903-of-13898,128999709,10214454.55,202,108937,325,122
11904-of-13898,128188018,10144231.5,202,108938,326,124
11905-of-13898,307798109,27730838.67,193,99414,294,101
11906-of-13898,168216604,19136595.1,201,108817,313,112
11907-of-13898,112390281,7822285.97,205,110206,332,127
11908-of-13898,112197988,7792601.06,205,110211,332,127
11909-of-13898,111182454,7737454.98,205,110227,332,127
11910-of-13898,244619579,22541657.17,207,110041,307,100
11911-of-13898,306516403,27030270.1,203,107726,298,96
11912-of-13898,306436431,27013328.83,203,107726,298,96
11913-of-13898,117304961,9106659.26,206,111042,324,118
11914-of-13898,117258107,9106659.26,206,111050,324,118
11915-of-13898,116192303,8983457.6,206,111102,324,118
11916-of-13898,114707747,8875353.86,206,111109,324,118
11917-of-13898,94170339,7971676.94,206,110841,333,127
11918-of-13898,91708622,7556143.93,207,111129,335,129
11919-of-13898,210245997,20205152.13,203,111055,307,103
11920-of-13898,210094387,20205152.13,203,111077,307,103
11921-of-13898,255723406,22112887.8,203,110198,303,100
11922-of-13898,245593409,21164618.3,204,110443,304,100
11923-of-13898,244288471,20922199.8,204,110452,304,100
11924-of-13898,233486717,20171955.84,204,110782,306,102
11925-of-13898,99073834,9487963.65,205,109572,332,127
11926-of-13898,200350548,18606959.19,203,108887,310,106
11927-of-13898,200330620,18602881.6,203,108890,310,106
11928-of-13898,151723535,13065742.71,204,110054,319,115
11929-of-13898,149351110,13015330.87,204,110069,319,115
11930-of-13898,147409265,12973029.72,204,110086,319,115
11931-of-13898,145264637,12899205.91,204,110094,319,115
11932-of-13898,171532426,16248428.11,203,110430,313,110
11933-of-13898,154142259,11464330.95,205,110818,320,115
11934-of-13898,311607879,27837608.24,195,98375,298,103
11935-of-13898,145807890,11297351.42,203,109473,323,120
11936-of-13898,160857757,15355130.88,203,110687,315,111
11937-of-13898,147237419,14319322.02,204,110842,315,112
11938-of-13898,242002910,22907352.86,203,110591,303,100
11939-of-13898,241571024,22902919.55,203,110600,303,100
11940-of-13898,240863705,22895658.92,203,110617,303,100
11941-of-13898,240063446,23983829.16,199,108283,300,101
11942-of-13898,239991637,23983829.16,199,108286,300,101
11943-of-13898,239797188,23983829.16,199,108300,300,101
11944-of-13898,227677138,23532199.11,201,109083,302,101
11945-of-13898,227396546,23509972.97,201,109472,303,101
11946-of-13898,93365111,9939525.62,207,109399,334,127
11947-of-13898,89356220,9736567.16,207,109484,334,127
11948-of-13898,87641638,9001886.89,207,109495,335,128
11949-of-13898,87635572,9001123.99,207,109495,335,128
11950-of-13898,86785499,7960529.1,207,109837,336,128
11951-of-13898,248619481,22547983.49,201,109131,302,101
11952-of-13898,237612788,21018183.8,202,109741,304,102
11953-of-13898,235883183,20858641.5,203,109969,305,102
11954-of-13898,235868038,20858641.5,203,109976,305,102
11955-of-13898,124807613,9134076.74,203,108202,330,127
11956-of-13898,116557452,8835571,203,108489,331,128
11957-of-13898,246834002,21378181.44,202,109052,304,102
11958-of-13898,121150201,9640003.94,205,110813,322,116
11959-of-13898,121093417,9640003.94,205,110815,322,116
11960-of-13898,120951548,9640003.94,205,110844,322,116
11961-of-13898,96467542,7072337.32,206,110380,337,131
11962-of-13898,96461493,7072122.98,206,110381,337,131
11963-of-13898,96404411,7072122.98,206,110387,337,131
11964-of-13898,112232929,10025753.23,203,106462,334,131
11965-of-13898,108478427,9924963.62,203,106599,334,131
11966-of-13898,106661621,9806163.81,203,106625,334,131
11967-of-13898,102871651,9251379.62,204,106967,337,134
11968-of-13898,99617847,9041454.02,204,107237,338,134
11969-of-13898,99475977,9041454.02,204,107266,338,134
11970-of-13898,99189007,8996300.04,204,107297,338,134
11971-of-13898,71407968,4918238.92,211,109712,349,137
11972-of-13898,64951742,4355615.02,211,109874,353,141
11973-of-13898,63872990,4355615.02,212,110056,353,141
11974-of-13898,62857268,4237147.38,212,110061,353,141
11975-of-13898,212237086,15469777.61,208,110207,314,106
11976-of-13898,211690030,15469777.61,208,110304,314,106
11977-of-13898,210229002,15396581.3,208,110338,314,107
11978-of-13898,209492917,15235770.64,208,110473,315,107
11979-of-13898,150096872,14480567.15,202,105679,324,121
11980-of-13898,177196601,13909467.03,204,110705,315,111
11981-of-13898,121934717,11998133.19,202,105355,334,132
11982-of-13898,122502572,11130451.93,212,111175,329,116
11983-of-13898,122455763,11121579.67,212,111178,329,116
11984-of-13898,286880248,26919713.31,196,102954,296,100
11985-of-13898,65119319,4211442.48,213,110610,351,138
11986-of-13898,56537466,6955748.13,211,110112,351,140
11987-of-13898,54841193,6890391.67,211,110304,352,141
11988-of-13898,54723452,6890391.67,211,110308,352,141
11989-of-13898,169829937,17482048.7,202,105438,318,116
11990-of-13898,168583204,17457661.85,202,105445,319,116
11991-of-13898,131306749,11285751.47,203,107977,326,124
11992-of-13898,130268331,11195160.95,203,108088,327,124
11993-of-13898,154331453,11468217.15,205,110808,319,115
11994-of-13898,160425632,12106913.63,203,109450,319,116
11995-of-13898,159617738,11946102.97,203,109588,319,116
11996-of-13898,158510018,11855512.45,203,109706,320,116
11997-of-13898,157171870,11482906.25,203,109721,320,117
11998-of-13898,156133435,11329257.26,204,109926,322,117
11999-of-13898,150007311,11647744.87,205,110748,320,115
12000-of-13898,102974934,7288274.83,205,109923,335,130
12001-of-13898,102384677,7175427.64,205,109932,335,130
12002-of-13898,289127026,28503269.57,196,102310,296,100
12003-of-13898,107255665,7894964.97,210,110681,335,124
12004-of-13898,107060986,7873110.19,210,110749,335,124
12005-of-13898,98537633,7627994.19,211,111199,336,125
12006-of-13898,97290900,7603607.34,211,111215,336,125
12007-of-13898,137906698,12174449.09,203,109300,324,120
12008-of-13898,122023341,7822533.43,207,110899,333,126
12009-of-13898,121773425,7784214.81,207,110905,333,126
12010-of-13898,121025347,7768296.26,207,110923,333,126
12011-of-13898,75141617,6178697.32,209,111175,344,136
12012-of-13898,70039300,5544383.95,209,111231,345,136
12013-of-13898,43959611,2850597.74,214,110714,361,147
12014-of-13898,40136151,2730931.31,214,110782,362,148
12015-of-13898,37711008,2706171.96,214,110859,362,148
12016-of-13898,251087185,21971739.57,202,109517,303,102
12017-of-13898,248555626,21807508.44,202,109557,303,102
12018-of-13898,106349642,7614058.66,208,108360,340,131
12019-of-13898,174276619,16786848.01,203,110572,312,109
12020-of-13898,173729563,16786848.01,203,110669,312,109
12021-of-13898,173588454,16786848.01,203,110679,312,109
12022-of-13898,289269712,29624517.9,196,102968,294,98
12023-of-13898,282748576,28431856.92,196,103008,295,98
12024-of-13898,87115201,5252309.05,205,109002,342,137
12025-of-13898,87100057,5252309.05,205,109010,342,137
12026-of-13898,79181074,5009095.01,206,109176,348,142
12027-of-13898,76733165,4765408.59,207,109643,349,142
12028-of-13898,76162643,4705321.27,208,110107,350,143
12029-of-13898,76150901,4701727.74,208,110108,350,143
12030-of-13898,135483281,16015827.53,204,105915,326,122
12031-of-13898,121587253,14820008.8,206,106921,329,123
12032-of-13898,181567804,15124921.9,201,106204,314,113
12033-of-13898,177621438,14657617.49,201,106328,316,115
12034-of-13898,177126986,14619992.83,202,106583,317,115
12035-of-13898,174459296,14451630.27,202,106617,320,118
12036-of-13898,187564250,14945174.7,202,108675,314,112
12037-of-13898,184655559,14892948.87,202,108734,314,112
12038-of-13898,174748435,14636918.65,202,108878,314,112
12039-of-13898,174505684,14600558.53,202,108878,314,112
12040-of-13898,173836369,14487066.34,202,108945,315,113
12041-of-13898,164560682,13119799.58,203,109535,316,114
12042-of-13898,148368301,14725040.3,199,105492,323,123
12043-of-13898,142777549,14590781.4,199,105496,327,128
12044-of-13898,142207126,14529344.79,200,105671,328,129
12045-of-13898,247362484,21693185.42,204,110592,303,99
12046-of-13898,238959397,20621635.79,204,110616,303,100
12047-of-13898,237939001,19912929.87,204,110682,305,101
12048-of-13898,237920443,19912486.84,204,110682,305,101
12049-of-13898,74428895,6572400.99,209,107734,349,140
12050-of-13898,155781667,11442438.61,205,108958,320,115
12051-of-13898,154141869,11286835.66,205,108962,320,115
12052-of-13898,153869641,11259591.5,205,108966,320,115
12053-of-13898,148027380,11070338.89,205,108989,320,115
12054-of-13898,175361198,13624923.81,201,107796,318,117
12055-of-13898,171234856,13365639.36,201,107818,318,117
12056-of-13898,159599064,12870728.55,201,107880,318,117
12057-of-13898,146576033,15109525.42,203,106928,320,117
12058-of-13898,170958379,17613901.29,205,109205,316,110
12059-of-13898,39454380,4221113.09,212,110061,361,149
12060-of-13898,39052917,4150241.5,212,110063,361,150
12061-of-13898,35642834,2933237.73,212,110330,363,151
12062-of-13898,47394078,6346781.83,212,111076,357,144
12063-of-13898,47279613,6341717.63,212,111079,357,144
12064-of-13898,47261054,6341274.6,212,111081,357,144
12065-of-13898,46748232,6295597.1,213,111121,358,145
12066-of-13898,46100368,3422708.7,213,110394,359,146
12067-of-13898,45045807,3402342.67,214,110567,360,146
12068-of-13898,40779465,3342101.17,214,110775,363,149
12069-of-13898,219254351,16996539.83,198,103747,308,110
12070-of-13898,194189075,15380709.68,201,104720,315,114
12071-of-13898,151913997,13226008.43,204,106795,321,117
12072-of-13898,134206822,10733168.02,206,108287,326,119
12073-of-13898,44243986,3182948.3,212,110161,363,151
12074-of-13898,43862089,3179317.35,213,110233,364,151
12075-of-13898,43135209,3085062.14,213,110299,364,151
12076-of-13898,81242902,6449971.03,206,108898,344,138
12077-of-13898,80775269,6340936.28,206,108903,344,138
12078-of-13898,116408722,11142687.31,212,110898,329,117
12079-of-13898,115726213,11120111.17,212,111127,330,117
12080-of-13898,114477100,10986502.7,213,111170,331,118
12081-of-13898,114423185,10985960.62,213,111179,331,118
12082-of-13898,107211151,9782998.19,213,111208,332,119
12083-of-13898,105612380,8796157.52,206,111176,331,125
12084-of-13898,194380747,19559176.43,201,105128,310,109
12085-of-13898,171663589,15636113.76,206,107635,317,111
12086-of-13898,123798130,14517789.79,204,106112,331,126
12087-of-13898,109804627,7588973.44,204,108311,336,132
12088-of-13898,106276253,7261280.13,205,108374,339,134
12089-of-13898,105163929,7122536.8,205,108412,340,135
12090-of-13898,52903525,5064734.37,211,110619,351,140
12091-of-13898,52015207,4991659.87,212,110846,353,141
12092-of-13898,50217353,4263795.92,212,110928,354,142
12093-of-13898,49974602,4227435.8,212,110928,354,142
12094-of-13898,49605422,4200730.29,213,111019,355,143
12095-of-13898,139902306,9127709.43,204,108886,328,125
12096-of-13898,132846187,8675111.06,204,108933,329,125
12097-of-13898,132450254,8639779.04,204,108937,329,126
12098-of-13898,169650006,16451704.1,201,104772,320,119
12099-of-13898,151936845,17548562.59,199,103238,329,130
12100-of-13898,134942618,14286005.25,201,104363,335,134
12101-of-13898,132744839,13311900.66,202,104712,338,136
12102-of-13898,78928902,5405598.06,210,111128,345,135
12103-of-13898,78872118,5405598.06,210,111130,345,135
12104-of-13898,77425968,5252519.07,210,111137,345,135
12105-of-13898,77187049,5212157.68,210,111207,345,135
12106-of-13898,65461831,4722607.59,209,110854,351,143
12107-of-13898,65417680,4714758.4,209,110854,352,143
12108-of-13898,65390884,4714758.4,209,110859,352,143
12109-of-13898,221971174,20314710.6,199,104692,305,107
12110-of-13898,218049398,20151189.35,199,104880,306,107
12111-of-13898,217290504,20032913.02,199,104903,307,108
12112-of-13898,214051208,18684346.32,200,105346,308,108
12113-of-13898,213856528,18662491.54,200,105414,308,108
12114-of-13898,133560772,11465984.11,203,108625,324,122
12115-of-13898,213148674,16876712.17,203,106441,310,107
12116-of-13898,213005925,16853244.33,205,107498,311,107
12117-of-13898,212545820,16785436.3,205,107507,312,107
12118-of-13898,199917094,15408776.27,206,108768,315,109
12119-of-13898,189341192,13670156.91,207,109422,318,110
12120-of-13898,345925275,29944836.49,195,101687,289,95
12121-of-13898,343935282,29673765.66,195,101756,290,95
12122-of-13898,68641115,5773065.26,208,109494,350,141
12123-of-13898,68280611,5742854.37,208,109498,350,142
12124-of-13898,122405092,9965793.98,209,110468,329,121
12125-of-13898,122266230,9965793.98,209,110517,329,121
12126-of-13898,117695113,8975965.53,207,110461,328,121
12127-of-13898,117485388,8944688.27,207,110462,328,121
12128-of-13898,117246469,8904326.88,207,110532,328,121
12129-of-13898,116424258,8828378.35,207,110703,329,122
12130-of-13898,320514632,26976133.61,198,103206,295,98
12131-of-13898,296645830,25490768.03,199,103573,298,99
12132-of-13898,256771572,22746456.03,200,104626,301,102
12133-of-13898,250653908,21622283.47,200,104677,302,102
12134-of-13898,159337506,14694380.92,204,110768,315,111
12135-of-13898,153502338,13149212.83,204,110853,316,112
12136-of-13898,151303753,12770712.28,204,110883,317,112
12137-of-13898,192965529,16245602.42,201,108824,310,109
12138-of-13898,123345785,11762549.02,205,109263,326,122
12139-of-13898,157290105,13789201.67,205,108641,319,114
12140-of-13898,157274959,13789201.67,205,108646,319,114
12141-of-13898,156737134,13788863.44,205,108662,320,115
12142-of-13898,55067958,4030511.81,212,110037,357,144
12143-of-13898,54636072,4026078.5,212,110063,357,144
12144-of-13898,54214675,3994412.19,212,110098,357,145
12145-of-13898,53404884,3849740.11,212,110118,357,145
12146-of-13898,52389349,3794594.03,212,110135,357,145
12147-of-13898,49634959,3701311.38,212,110135,359,147
12148-of-13898,38041421,3184662.89,213,110410,362,149
12149-of-13898,110092788,8210018,211,110353,334,123
12150-of-13898,109270577,8134069.47,211,110523,335,123
12151-of-13898,108877602,8126938.13,212,110537,335,123
12152-of-13898,104388744,7918050.95,212,110622,338,126
12153-of-13898,48591955,3433951.94,214,110858,359,145
12154-of-13898,45826892,3344661.82,214,110868,361,147
12155-of-13898,45578765,3329432.59,214,110873,361,147
12156-of-13898,91032857,7626000.14,207,111128,337,129
12157-of-13898,87504648,7351120.77,208,111215,338,130
12158-of-13898,79859511,5687063.03,206,109014,347,141
12159-of-13898,265771556,25563524.9,202,106983,301,99
12160-of-13898,260237646,25140794.8,202,106994,303,101
12161-of-13898,143189566,11476193.47,203,109539,323,120
12162-of-13898,137555133,11154808.64,203,109571,323,120
12163-of-13898,136588523,11064218.12,203,109679,324,120
12164-of-13898,170250285,13309950.28,203,109837,315,112
12165-of-13898,167894995,13196390.36,203,109878,315,112
12166-of-13898,165900775,13113556.59,203,109997,316,113
12167-of-13898,164268412,13035738.46,204,110215,317,114
12168-of-13898,162628614,12880135.51,204,110233,317,114
12169-of-13898,110840174,13504677.05,205,106311,334,129
12170-of-13898,110805402,13504677.05,205,106317,334,129
12171-of-13898,65849457,6379919.43,207,110087,352,145
12172-of-13898,152689861,12836798.04,200,107057,323,123
12173-of-13898,242685028,26435811.11,201,107576,301,101
12174-of-13898,228802471,23354691.4,203,108767,304,101
12175-of-13898,227317914,23246587.66,203,108774,304,101
12176-of-13898,213320270,20849136.01,203,111047,306,103
12177-of-13898,167204851,13265765.57,203,108601,318,115
12178-of-13898,106765007,6830824.28,213,110818,341,129
12179-of-13898,105726537,6726147.58,213,110837,343,130
12180-of-13898,104926507,6584173.07,213,110869,343,130
12181-of-13898,113535511,9268273.13,204,107927,331,128
12182-of-13898,105244045,8581665.27,205,108845,333,128
12183-of-13898,104533626,8540598.82,206,109343,335,129
12184-of-13898,154480059,10877454.17,204,111304,321,117
12185-of-13898,208492210,19736181.13,203,111061,307,103
12186-of-13898,206142874,19483453.42,203,111148,307,104
12187-of-13898,129581459,13361913.53,212,110861,327,115
12188-of-13898,77178374,7189226.18,205,108835,346,141
12189-of-13898,95106779,6890011.26,206,110134,337,131
12190-of-13898,95076331,6889932.56,206,110134,337,131
12191-of-13898,94881652,6868077.78,206,110202,337,131
12192-of-13898,90341280,6455828.57,206,110513,341,135
12193-of-13898,292072061,25530622.03,200,107390,297,97
12194-of-13898,115716231,10229343,202,106352,333,130
12195-of-13898,115453044,10191982.43,202,106398,333,131
12196-of-13898,115440788,10190614.88,202,106398,333,131
12197-of-13898,109000089,9525225.17,202,106435,334,131
12198-of-13898,132449997,12268715.75,205,111246,321,115
12199-of-13898,130810199,12113112.8,205,111264,321,115
12200-of-13898,130778491,12113112.8,205,111268,321,115
12201-of-13898,130515304,12075752.23,206,111315,322,116
12202-of-13898,129210366,11833333.73,206,111354,322,116
12203-of-13898,159979142,11459003.36,204,104788,330,127
12204-of-13898,159899797,11456707.49,204,105237,331,127
12205-of-13898,159651670,11441478.26,204,105241,331,127
12206-of-13898,156074348,10943091.86,204,105280,332,127
12207-of-13898,166728271,15325707.27,200,106695,319,118
12208-of-13898,166623249,15307465.3,200,106696,319,119
12209-of-13898,166588476,15307465.3,200,106702,319,119
12210-of-13898,211385932,20031954.68,208,110424,310,103
12211-of-13898,209751853,18995223.59,208,110739,311,103
12212-of-13898,204183393,18141565.88,208,110803,312,104
12213-of-13898,83117208,6187415.74,211,110905,344,133
12214-of-13898,82415396,6069139.41,211,110921,345,133
12215-of-13898,70930682,5960411.47,206,109414,349,143
12216-of-13898,70924616,5959648.57,206,109414,349,143
12217-of-13898,70772297,5939181.57,206,109415,349,144
12218-of-13898,70667274,5920939.6,206,109430,350,144
12219-of-13898,124420939,8683436.36,204,109068,330,126
12220-of-13898,155608238,14269114.58,204,107809,319,115
12221-of-13898,149989356,13280161.18,204,108043,320,116
12222-of-13898,148961982,13207252.09,204,108121,322,117
12223-of-13898,142186027,11358202.93,205,108879,324,118
12224-of-13898,140682912,11249656.16,205,108889,324,118
12225-of-13898,157674386,12025558.83,205,110733,318,113
12226-of-13898,157294991,15295343.46,202,106735,320,117
12227-of-13898,34940910,2580345.14,213,110636,368,155
12228-of-13898,71898744,6775683.3,206,110384,345,139
12229-of-13898,71811029,6765241.95,206,110516,346,139
12230-of-13898,71026657,6651954.35,207,110644,347,140
